,BookTitle,Author,URL,Category,Price (EGY),Rate
0,Atomic Habits,James Clear,https://diwanegypt.com/product/atomic-habits/," E Personal Growth, E Self-Help, English Adults",1260.0,A
1,A Little Life,Hanya Yanagihara,https://diwanegypt.com/product/little-life/," E General Fiction, E Literature & Fiction, English Adults",685.0,A
2,It Ends With Us,Colleen Hoover,https://diwanegypt.com/product/it-ends-with-us-2/," E Literature & Fiction, E Romance, English Adults",685.0,A
3,Meditations,Marcus Aurelius,https://diwanegypt.com/product/meditations/," E Ancient Philosophy, E Philosophy, English Adults",630.0,A
4,Silent Patient,Alex Michaelides,https://diwanegypt.com/product/silent-patient/," E Literature & Fiction, E Mystery & Thrillers, English Adults",580.0,A
5,How to Win Friends and Influence People,Dale Carnegie,https://diwanegypt.com/product/how-to-win-friends-and-influence-people/," E Relationships, E Self-Help, English Adults",635.0,A
6,The Body Keeps the Score,Bessel van der Kolk MD,https://diwanegypt.com/product/the-body-keeps-the-score/," E Anxiety & Trauma, E Psychology, English Adults",880.0,A
7,"Thinking, Fast and Slow",Daniel Kahneman,https://diwanegypt.com/product/thinking-fast-and-slow/," E Popular Psychology, E Psychology, English Adults",1010.0,A
8,Alchemist,Paulo Coelho,https://diwanegypt.com/product/alchemist/," E General Fiction, E Literature & Fiction, English Adults",490.0,A
9,Man’s Search for Meaning,Viktor E. Frankl,https://diwanegypt.com/product/mans-search-for-meaning/," E Biography & Memoirs, E Memoirs & Autobiographies, English Adults",690.0,A
10,The Secret History,Donna Tartt,https://diwanegypt.com/product/secret-history/," E Literary Fiction, E Literature & Fiction, English Adults",685.0,A
11,Normal People,Sally Rooney,https://diwanegypt.com/product/normal-people/," E Literary Fiction, E Literature & Fiction, English Adults",685.0,A
12,Before the Coffee Gets Cold,Toshikazu Kawaguchi,https://diwanegypt.com/product/before-the-coffee-gets-cold/," E General Fiction, E Literature & Fiction, English Adults",750.0,A
13,People We Meet on Vacation,Emily Henry,https://diwanegypt.com/product/people-we-meet-on-vacation/," E Literature & Fiction, E Romance, English Adults",635.0,A
14,Be Golden Edition,Nevin Elgendy,https://diwanegypt.com/product/be-golden-edition/," E Personal Growth, E Self-Help, English Adults",295.0,A
15,Power of Now,Eckhart Tolle,https://diwanegypt.com/product/power-of-now-a-guide-to-spiritual-enlightenment/," E Spirituality, E Spirituality, New Age & Yoga, English Adults",880.0,A
16,Think and Grow Rich,Napoleon Hill,https://diwanegypt.com/product/think-and-grow-rich/," E Business, E Finance & Investment, English Adults",540.0,A
17,Outliers,Malcolm Gladwell,https://diwanegypt.com/product/outliers-the-story-of-success/," E Personal Growth, E Self-Help, English Adults",490.0,A
18,Sapiens,Yuval Noah Harari,https://diwanegypt.com/product/sapiens-a-brief-history-of-humankind/," E Biology & Life Science, E Science & Technology, English Adults",880.0,A
19,Song of Achilles,Madeline Miller,https://diwanegypt.com/product/song-of-achilles/," E General Fiction, E Literature & Fiction, English Adults",690.0,A
20,Surrounded By Idiots,Thomas Erikson,https://diwanegypt.com/product/surrounded-by-idiots-the-four-types-of-human-behaviour-or-how-to-understand-those-who-cannot-be-understood/," E Popular Psychology, E Psychology, English Adults",750.0,A
21,12 Rules for Life,Jordan B. Peterson,https://diwanegypt.com/product/12-rules-for-life-an-antidote-to-chaos/," E Personal Growth, E Self-Help, English Adults",750.0,A
22,Circe,Madeline Miller,https://diwanegypt.com/product/circe-the-international-no-1-bestseller-shortlisted-for-the-womens-prize-for-fiction-2019/," E Fantasy, E Literature & Fiction, English Adults",685.0,A
23,Invisible Life of Addie Larue,V.E. Schwab,https://diwanegypt.com/product/invisible-life-of-addie-larue/," E Fantasy, E Literature & Fiction, English Adults",990.0,A
24,Midnight Library,Matt Haig,https://diwanegypt.com/product/midnight-library-2/," E General Fiction, E Literature & Fiction, English Adults",685.0,A
25,All the Light We Cannot See,Anthony Doerr,https://diwanegypt.com/product/all-the-light-we-cannot-see/," E General Fiction, E Literature & Fiction, English Adults",685.0,A
26,When the Body Says No,Gabor Mate,https://diwanegypt.com/product/when-the-body-says-no/," E Mind, Body & Spirit, E Self-Help, English Adults",880.0,A
27,Positive Discipline,Jane Nelson,https://diwanegypt.com/product/positive-discipline/," E Parenting, E Pregnancy & Parenting, English Adults",1130.0,A
28,Daisy Jones and The Six : Winner of the Glass Bell Award for Fiction,Taylor Jenkins Reid,https://diwanegypt.com/product/daisy-jones-and-the-six-winner-of-the-glass-bell-award-for-fiction/," E Biography & Memoirs, E Biography & True Stories, English Adults",685.0,A
29,Solve For Happy,Mo Gawdat,https://diwanegypt.com/product/solve-for-happy-engineer-your-path-to-joy/," E Personal Growth, E Self-Help, English Adults",750.0,A
30,Untethered Soul,Michael A. Singer,https://diwanegypt.com/product/untethered-soul-the-journey-beyond-yourself/," E General Psychology, E Psychology, English Adults",1075.0,A
31,The Forty Rules of Love,Elif Shafak,https://diwanegypt.com/product/forty-rules-of-love/," E General Fiction, E Literature & Fiction, English Adults",685.0,A
32,5 AM Club,Robin Sharma,https://diwanegypt.com/product/5-am-club/," E Personal Growth, E Self-Help, English Adults",1140.0,A
33,Emotional Intelligence,Daniel Goleman,https://diwanegypt.com/product/emotional-intelligence/," E Popular Psychology, E Psychology, English Adults",580.0,A
34,Night Circus,Erin Morgenstern,https://diwanegypt.com/product/night-circus/," E Fantasy, E Literature & Fiction, English Adults",580.0,A
35,Prince,Niccolo Machiavelli,https://diwanegypt.com/product/prince-collins-classics/," E Modern Philosophy, E Philosophy, English Adults",210.0,A
36,One Day in December,Josie Silver,https://diwanegypt.com/product/one-day-in-december/," E Literature & Fiction, E Romance, English Adults",580.0,A
37,Concise 48 Laws of Power,Robert Greene,https://diwanegypt.com/product/concise-48-laws-of-power/," E Modern Philosophy, E Philosophy, English Adults",685.0,A
38,Little Women,Louisa May Alcott & Lynn Messi,https://diwanegypt.com/product/little-women/," E Classics, E Literature & Fiction, English Adults",420.0,A
39,Tuesdays with Morrie,Mitch Albom,https://diwanegypt.com/product/tuesdays-with-morrie/," E General Fiction, E Literature & Fiction, English Adults",540.0,A
40,Brave New World,Aldous Huxley,https://diwanegypt.com/product/brave-new-world/," E Classics, E Literature & Fiction, English Adults",560.0,A
41,Bell Jar,Sylvia Plath,https://diwanegypt.com/product/bell-jar/," E Contemporary Classics, E Literature & Fiction, English Adults",630.0,A
42,7 Habits Of Highly Effective People: Revised and Updated : 30th Anniversary Edition,Stephen R. Covey,https://diwanegypt.com/product/7-habits-of-highly-effective-people-revised-and-updated-30th-anniversary-edition/," E Personal Growth, E Self-Help, English Adults",1010.0,A
43,Norwegian Wood,Haruki Murakami,https://diwanegypt.com/product/norwegian-wood/," E Literary Fiction, E Literature & Fiction, English Adults",580.0,A
44,Death on the Nile,Agatha Christie,https://diwanegypt.com/product/death-on-the-nile/," E Literature & Fiction, E Mystery & Thrillers, English Adults",560.0,A
45,Ikigai,Francesc Miralles & Héctor Gar,https://diwanegypt.com/product/ikigai-the-japanese-secret-to-a-long-and-happy-life/," E Eastern Philosophy, E Philosophy, English Adults",1010.0,A
46,And Then There Were None,Agatha Christie,https://diwanegypt.com/product/and-then-there-were-none/," E Literature & Fiction, E Mystery & Thrillers, English Adults",540.0,A
47,The 48 Laws of Power,Robert Greene,https://diwanegypt.com/product/48-laws-of-power-2/," E Modern Philosophy, E Philosophy, English Adults",1335.0,A
48,How to Do the Work,Nicole LePera,https://diwanegypt.com/product/how-to-do-the-work/," E Personal Growth, E Self-Help, English Adults",1260.0,A
49,Breaking the Habit of Being Yourself : How to Lose Your Mind and Create a New One,Joe Dispenza,https://diwanegypt.com/product/breaking-the-habit-of-being-yourself-how-to-lose-your-mind-and-create-a-new-one/," E Personal Growth, E Self-Help, English Adults",1010.0,A
50,5 Love Languages,Gary Chapman,https://diwanegypt.com/product/5-love-languages-the-secret-to-love-that-lasts/," E Relationships, E Self-Help, English Adults",965.0,A
51,One Hundred Years of Solitude,Gabriel García Márquez,https://diwanegypt.com/product/one-hundred-years-of-solitude/," E Literary Fiction, E Literature & Fiction, English Adults",685.0,A
52,Rich Dad Poor dad,Robert T. Kiyosaki,https://diwanegypt.com/product/rich-dad-poor-dad-2/," E Business, E Finance & Investment, English Adults",580.0,A
53,The Art of Seduction,Robert Greene,https://diwanegypt.com/product/art-of-seduction/," E Relationships, E Self-Help, English Adults",1560.0,A
54,Cairo Since 1900,Mohamed Elshahed,https://diwanegypt.com/product/cairo-since-1900-an-architectural-guide/," E Egypt Essentials, E Egypt Essentials, English Adults",900.0,A
55,Start With Why,Simon Sinek,https://diwanegypt.com/product/start-with-why-how-great-leaders-inspire-everyone-to-take-action/," E Business, E Management & Leadership, English Adults",750.0,A
56,Secrets of Divine Love,A.Helwa,https://diwanegypt.com/product/secrets-of-divine-love/," E Spirituality, New Age & Yoga, E Sufism, English Adults",1500.0,A
57,The Psychology of Money,Morgan Housel,https://diwanegypt.com/product/the-psychology-of-money/," E Business, E Finance & Investment, English Adults",1010.0,A
58,Atlas of the Heart,Brene Brown,https://diwanegypt.com/product/atlas-of-the-heart/," E Personal Growth, E Self-Help, English Adults",1750.0,A
59,On Earth We’re Briefly Gorgeous,Ocean Vuong,https://diwanegypt.com/product/on-earth-were-briefly-gorgeou/," E General Fiction, E Literature & Fiction, English Adults",610.0,A
60,Bilhana,Yasmine Elgharably & Shewekar,https://diwanegypt.com/product/bilhana/," E Cookery, E Middle Eastern Cookery, English Adults",850.0,A
61,Man and His Symbols,Carl Gustav Jung,https://diwanegypt.com/product/man-and-his-symbols/," E General Psychology, E Psychology, English Adults",580.0,A
62,The Perks of Being a Wallflower,Stephen Chbosky,https://diwanegypt.com/product/perks-of-being-a-wallflower/," E General Fiction, E Literature & Fiction, English Adults",630.0,A
63,You Can Heal Your Life,Louise L. Hay,https://diwanegypt.com/product/you-can-heal-your-life/," E Spirituality, E Spirituality, New Age & Yoga, English Adults",880.0,A
64,Ugly Love,Colleen Hoover,https://diwanegypt.com/product/ugly-love/," E Literature & Fiction, E Romance, English Adults",685.0,A
65,Maybe You Should Talk to Someone,Lori Gottlieb,https://diwanegypt.com/product/maybe-you-should-talk-to-someo-2/," E Psychology, E Therapy, English Adults",685.0,A
66,Beach Read,Emily Henry,https://diwanegypt.com/product/beach-read/," E Literature & Fiction, E Romance, English Adults",720.0,A
67,The Power Of Your Subconscious Mind,Joseph Murphy,https://diwanegypt.com/product/power-of-your-subconscious-mind-revised-one-of-the-most-powerful-self-help-guides-ever-written/," E Mind, Body & Spirit, E Self-Help, English Adults",685.0,A
68,How to Talk to Anyone,Leil Lowndes,https://diwanegypt.com/product/how-to-talk-to-anyone-92-little-tricks-for-big-success-in-relationships/," E Relationships, E Self-Help, English Adults",560.0,A
69,Fahrenheit 451,Ray Bradbury,https://diwanegypt.com/product/fahrenheit-451-flamingo-modern-classics/," E Contemporary Classics, E Literature & Fiction, English Adults",560.0,A
70,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,https://diwanegypt.com/product/the-seven-husbands-of-evelyn-h/," E General Fiction, E Literature & Fiction, English Adults",630.0,A
71,Women Who Run with the Wolves,Clarissa Pinkola Estés,https://diwanegypt.com/product/women-who-run-with-the-wolves-2/," E Folk Tales, E Mythology & Folk Tales, English Adults",580.0,A
72,Games People Play,Eric Berne,https://diwanegypt.com/product/games-people-play/," E Popular Psychology, E Psychology, English Adults",750.0,A
73,The Lean Startup,Eric Ries,https://diwanegypt.com/product/the-lean-startup/," E Business, E Entrepreneurship, English Adults",1010.0,A
74,Mindset,Carol Dweck,https://diwanegypt.com/product/mindset-2/," E Positive Psychology, E Psychology, English Adults",965.0,A
75,Stranger,Albert Camus,https://diwanegypt.com/product/stranger/," E Classics, E Literature & Fiction, English Adults",855.0,A
76,Feel the Fear and Do it Anyway,Susan Jeffers,https://diwanegypt.com/product/feel-the-fear-and-do-it-anyway-how-to-turn-your-fear-and-indecision-into-confidence-and-action/," E Personal Growth, E Self-Help, English Adults",750.0,A
77,101 Essays That Will Change the Way you Think,Brianna Wiest,https://diwanegypt.com/product/101-essays-that-will-change/," E General Psychology, E Psychology, English Adults",910.0,A
78,"Men Are from Mars, Women Are f",John Gray,https://diwanegypt.com/product/men-are-from-mars-women-are-from-venus-practical-guide-for-improving-communication-and-getting-what-you-want/," E Relationships, E Self-Help, English Adults",630.0,A
79,Kafka on the Shore,Haruki Murakami,https://diwanegypt.com/product/kafka-on-the-shore/," E Literary Fiction, E Literature & Fiction, English Adults",580.0,A
80,Things You Can See Only When You Slow Down,Haemin Sunim,https://diwanegypt.com/product/things-you-can-see-only-when-y/," E Spirituality, E Spirituality, New Age & Yoga, English Adults",750.0,A
81,Lord of the Rings 1 Fellowship,J.R.R. Tolkien,https://diwanegypt.com/product/lord-of-the-rings-1-fellowship-of-the-ring/," E Fantasy, E Literature & Fiction, English Adults",540.0,A
82,New Earth,Eckhart Tolle,https://diwanegypt.com/product/new-earth-create-a-better-life/," E Spirituality, E Spirituality, New Age & Yoga, English Adults",750.0,A
83,Twisted Love,Ana Huang,https://diwanegypt.com/product/twisted-love/," E Literature & Fiction, E Romance, English Adults",685.0,A
84,Never Split The Difference,Chris Voss,https://diwanegypt.com/product/never-split-the-difference-2/," E Business, E General Business, English Adults",560.0,A
85,Goldfinch,Donna Tartt,https://diwanegypt.com/product/goldfinch/," E Literary Fiction, E Literature & Fiction, English Adults",880.0,A
86,Wisdom of the Enneagram,Don Richard Riso & R. Hudson,https://diwanegypt.com/product/wisdom-of-the-enneagram-the-complete-guide-to-psychological-and-spiritual-growth-for-the-nine-personality-types/," E Enneagram, E Psychology, English Adults",1320.0,A
87,The Power of Positive Thinking,Norman Vincent Peale,https://diwanegypt.com/product/power-of-positive-thinking/," E Mind, Body & Spirit, E Self-Help, English Adults",560.0,A
88,Hobbit,J.R.R. Tolkien,https://diwanegypt.com/product/hobbit/," E Fantasy, E Literature & Fiction, English Adults",630.0,A
89,10 Minutes 38 Seconds in this Strange World,Elif Shafak,https://diwanegypt.com/product/10-minutes-38-seconds-in-this-strange-world-2/," E General Fiction, E Literature & Fiction, English Adults",685.0,A
90,Beer in the Snooker Club,Waguih Ghali,https://diwanegypt.com/product/beer-in-the-snooker-club/," E Contemporary Classics, E Literature & Fiction, English Adults",685.0,A
91,Definitive Book of Body Langua,Allan Pease & Barbara Pease,https://diwanegypt.com/product/definitive-book-of-body-language-how-to-read-others-attitudes-by-their-gestures/," E Popular Psychology, E Psychology, English Adults",750.0,A
92,Five People You Meet in Heaven,Mitch Albom,https://diwanegypt.com/product/five-people-you-meet-in-heaven/," E General Fiction, E Literature & Fiction, English Adults",685.0,A
93,Verity,Colleen Hoover,https://diwanegypt.com/product/verity-2/," E Literature & Fiction, E Romance, English Adults",685.0,A
94,Sinai People Faces of Time,Kathrin Sombold,https://diwanegypt.com/product/sinai-people-faces-of-time/," E Egypt Essentials, E Egypt Essentials, English Adults",500.0,A
95,The Secret,Rhonda Byrne,https://diwanegypt.com/product/secret/," E Mind, Body & Spirit, E Self-Help, English Adults",1010.0,A
96,Undiscovered Self,Carl Gustav Jung,https://diwanegypt.com/product/undiscovered-self/," E General Psychology, E Psychology, English Adults",635.0,A
97,Who Moved My Cheese?,Spencer Johnson,https://diwanegypt.com/product/who-moved-my-cheese-an-amazing-way-to-deal-with-change-in-your-work-and-in-your-life/," E Personal Growth, E Self-Help, English Adults",630.0,A
98,Intermezzo,Sally Rooney,https://diwanegypt.com/product/intermezzo/," E General Fiction, E Literature & Fiction, English Adults",1010.0,A
99,It Didn’t Start With You,Mark Wolynn,https://diwanegypt.com/product/it-didnt-start-with-you-how-inherited-family-trauma-shapes-who-we-are-and-how-to-end-the-cycle/," E Popular Psychology, E Psychology, English Adults",1020.0,A
100,Wind-up Bird Chronicle,Haruki Murakami,https://diwanegypt.com/product/wind-up-bird-chronicle/," E Literary Fiction, E Literature & Fiction, English Adults",685.0,A
101,Freakonomics,Steven D. Levitt & Stephen J.,https://diwanegypt.com/product/freakonomics-a-rogue-economist-explores-the-hidden-side-of-everything/," E Economics, E Popular Economics, English Adults",540.0,A
102,Terms And Conditions,Lauren Asher,https://diwanegypt.com/product/terms-and-conditions/," E Literature & Fiction, E Romance, English Adults",685.0,A
103,Book Lovers,Emily Henry,https://diwanegypt.com/product/book-lovers/," E Literature & Fiction, E Romance, English Adults",635.0,A
104,The Artist’s Way,Julia Cameron,https://diwanegypt.com/product/artists-way/," E Personal Growth, E Self-Help, English Adults",1130.0,A
105,4-Hour Work Week,Timothy Ferriss,https://diwanegypt.com/product/4-hour-work-week/," E Business, E Job Hunting & Careers, English Adults",815.0,A
106,Quiet,Susan Cain,https://diwanegypt.com/product/quiet/," E Popular Psychology, E Psychology, English Adults",750.0,A
107,Untamed,Glennon Doyle,https://diwanegypt.com/product/untamed-stop-pleasing-start-living/," E Biography & Memoirs, E Memoirs & Autobiographies, English Adults",1010.0,A
108,Daring Greatly,Brene Brown,https://diwanegypt.com/product/daring-greatly-how-the-courage-to-be-vulnerable-transforms-the-way-we-live-love-parent-and-lead/," E Personal Growth, E Self-Help, English Adults",1075.0,B
109,Brief History of Time,Stephen Hawking,https://diwanegypt.com/product/brief-history-of-time/," E Astronomy & Cosmology, E Science & Technology, English Adults",630.0,B
110,The Laws of Human Nature,Robert Greene,https://diwanegypt.com/product/laws-of-human-nature/," E Personal Growth, E Self-Help, English Adults",1130.0,B
111,Sex and the Citadel,Shereen El Feki,https://diwanegypt.com/product/sex-and-the-citadel-intimate-life-in-a-changing-arab-world/," E Gender & Women Studies, E Society & Culture, English Adults",560.0,B
112,The Powerless Trilogy 1: Powerless,Lauren Roberts,https://diwanegypt.com/product/the-powerless-trilogy-1-powerless/," E Fantasy, E Literature & Fiction, English Adults",685.0,B
113,The Seven Year Slip,,https://diwanegypt.com/product/the-seven-year-slip/," E Literature & Fiction, E Romance, English Adults",685.0,B
114,The Mountain Is You,Brianna Wiest,https://diwanegypt.com/product/the-mountain-is-you/," E Personal Growth, E Self-Help, English Adults",1020.0,B
115,What to Expect: The First Year,Heidi Murkoff,https://diwanegypt.com/product/what-to-expect-the-first-year/," E Parenting, E Pregnancy & Parenting, English Adults",685.0,B
116,"Red, White & Royal Blue",Casey McQuiston,https://diwanegypt.com/product/red-white-royal-blue/," E Literature & Fiction, E Romance, English Adults",935.0,B
117,Three Daughters of Eve,Elif Shafak,https://diwanegypt.com/product/three-daughters-of-eve/," E General Fiction, E Literature & Fiction, English Adults",685.0,B
118,The Handmaid’s Tale,Margaret Atwood,https://diwanegypt.com/product/handmaids-tale/," E Literary Fiction, E Literature & Fiction, English Adults",685.0,B
119,Essential Rumi,Jalal Al-Din Rumi,https://diwanegypt.com/product/essential-rumi/," E Spirituality, New Age & Yoga, E Sufism, English Adults",1020.0,B
120,If we were villains,M. L. Rio,https://diwanegypt.com/product/if-we-were-villains/," E Literature & Fiction, E Mystery & Thrillers, English Adults",1075.0,B
121,Conversations with Friends,Sally Rooney,https://diwanegypt.com/product/conversations-with-friends/," E Literary Fiction, E Literature & Fiction, English Adults",935.0,B
122,Metamorphosis,Franz Kafka,https://diwanegypt.com/product/metamorphosis/," E Classics, E Literature & Fiction, English Adults",420.0,B
123,Murder on the Orient Express,Agatha Christie,https://diwanegypt.com/product/murder-on-the-orient-express/," E Literature & Fiction, E Mystery & Thrillers, English Adults",540.0,B
124,Complete Sherlock Holmes,Arthur Conan Doyle,https://diwanegypt.com/product/complete-sherlock-holmes-all-4-novels-and-56-short-stories/," E Classics, E Literature & Fiction, English Adults",795.0,B
125,Twisted Games,Ana Huang,https://diwanegypt.com/product/twisted-games/," E Literature & Fiction, E Romance, English Adults",685.0,B
126,Stormlight Archive 1 Way of Ki,Brandon Sanderson,https://diwanegypt.com/product/stormlight-archive-1-way-of-ki/," E Literature & Fiction, E Science Fiction & Dystopia, English Adults",745.0,B
127,How to Talk So Kids Will Liste,Adele Faber & Elaine Mazlish,https://diwanegypt.com/product/how-to-talk-so-kids-will-listen-and-listen-so-kids-will-talk/," E Parenting, E Pregnancy & Parenting, English Adults",1075.0,B
128,Leaders Eat Last,Simon Sinek,https://diwanegypt.com/product/leaders-eat-last-why-some-teams-pull-together-and-others-dont/," E Business, E Management & Leadership, English Adults",750.0,B
129,Good Reasons for Bad Feelings,Randolph M. Nesse,https://diwanegypt.com/product/good-reasons-for-bad-feelings/," E General Psychology, E Psychology, English Adults",750.0,B
130,The Poppy War,R.F. Kuang,https://diwanegypt.com/product/the-poppy-war/," E Fantasy, E Literature & Fiction, English Adults",685.0,B
131,Priory of the Orange Tree,Samantha Shannon,https://diwanegypt.com/product/priory-of-the-orange-tree/," E Fantasy, E Literature & Fiction, English Adults",750.0,B
132,Dialogues of Plato,Plato,https://diwanegypt.com/product/dialogues-of-plato/," E Ancient Philosophy, E Philosophy, English Adults",420.0,B
133,Rich Dad’s Cashflow Quadrant,Robert T. Kiyosaki,https://diwanegypt.com/product/rich-dads-cashflow-quadrant-2/," E Business, E Finance & Investment, English Adults",480.0,B
134,Monk Who Sold His Ferrari,Robin S. Sharma,https://diwanegypt.com/product/monk-who-sold-his-ferrari-a-fable-about-fulfilling-your-dreams-reaching-your-destiny/," E Personal Growth, E Self-Help, English Adults",540.0,B
135,Deep Work,Cal Newport,https://diwanegypt.com/product/deep-work/," E Business, E Management & Leadership, English Adults",1140.0,B
136,Hating Game,Sally Thorne,https://diwanegypt.com/product/hating-game-2/," E Literature & Fiction, E Romance, English Adults",685.0,B
137,Great Gatsby,Francis-Scott Fitzgerald,https://diwanegypt.com/product/great-gatsby/," E Classics, E Literature & Fiction, English Adults",240.0,B
138,Midaq Alley,Naguib Mahfouz,https://diwanegypt.com/product/midaq-alley/," E Arabic Literature in Translation, E Literature & Fiction, English Adults",300.0,B
139,Kallimni ‘Arabi,Samia Louis,https://diwanegypt.com/product/kallimni-arabi-an-intermediate-course-in-spoken-egyptian-arabic/," E Foreign Language Study, E Study Guides, English Adults",900.0,B
140,On Identity,Amin Maalouf,https://diwanegypt.com/product/on-identity/," E Society & Culture, E Society & Culture Studies, English Adults",685.0,B
