,team_1,team_2,score,date,time,staduim,Year
0,France,Mexico,4–1,13-07-1930,15:00,"Estadio Pocitos, Montevideo",1930
1,Argentina,France,1–0,15-07-1930,16:00,"Estadio Parque Central, Montevideo",1930
2,Chile,Mexico,3–0,16-07-1930,14:45,"Estadio Parque Central, Montevideo",1930
3,Chile,France,1–0,19-07-1930,12:50,"Estadio Centenario, Montevideo",1930
4,Argentina,Mexico,6–3,19-07-1930,15:00,"Estadio Centenario, Montevideo",1930
5,Argentina,Chile,3–1,22-07-1930,14:45,"Estadio Centenario, Montevideo",1930
6,Yugoslavia,Brazil,2–1,14-07-1930,12:45,"Estadio Parque Central, Montevideo",1930
7,Yugoslavia,Bolivia,4–0,17-07-1930,12:45,"Estadio Parque Central, Montevideo",1930
8,Brazil,Bolivia,4–0,20-07-1930,13:00,"Estadio Centenario, Montevideo",1930
9,Romania,Peru,3–1,14-07-1930,14:50,"Estadio Pocitos, Montevideo",1930
10,Uruguay,Peru,1–0,18-07-1930,14:30,"Estadio Centenario, Montevideo",1930
11,Uruguay,Romania,4–0,21-07-1930,14:50,"Estadio Centenario, Montevideo",1930
12,United States,Belgium,3–0,13-07-1930,15:00,"Estadio Parque Central, Montevideo",1930
13,United States,Paraguay,3–0,17-07-1930,14:45,"Estadio Parque Central, Montevideo",1930
14,Paraguay,Belgium,1–0,20-07-1930,15:00,"Estadio Centenario, Montevideo",1930
15,Argentina,United States,6–1,26-07-1930,14:45,"Estadio Centenario, Montevideo",1930
16,Uruguay,Yugoslavia,6–1,27-07-1930,14:45,"Estadio Centenario, Montevideo",1930
17,Uruguay,Argentina,4–2,30-07-1930,12:45,"Estadio Centenario, Montevideo",1930
18,Spain,Brazil,3–1,27-05-1934,16:00,"Stadio Luigi Ferraris, Genoa",1934
19,Hungary,Egypt,4–2,27-05-1934,16:00,"Stadio Giorgio Ascarelli, Naples",1934
20,Switzerland,Netherlands,3–2,27-05-1934,16:00,"Stadio San Siro, Milan",1934
21,Italy,United States,7–1,27-05-1934,16:00,"Stadio Nazionale PNF, Rome",1934
22,Czechoslovakia,Romania,2–1,27-05-1934,16:00,"Stadio Littorio, Trieste",1934
23,Sweden,Argentina,3–2,27-05-1934,16:00,"Stadio Littoriale, Bologna",1934
24,Austria,France,3–2 P,27-05-1934,16:00,"Stadio Benito Mussolini, Turin",1934
25,Germany,Belgium,5–2,27-05-1934,16:00,"Stadio Giovanni Berta, Florence",1934
26,Austria,Hungary,2–1,31-05-1934,16:30,"Stadio Littoriale, Bologna",1934
27,Italy,Spain,1–1 P,31-05-1934,16:30,"Stadio Giovanni Berta, Florence",1934
28,Germany,Sweden,2–1,31-05-1934,16:30,"Stadio San Siro, Milan",1934
29,Czechoslovakia,Switzerland,3–2,31-05-1934,16:30,"Stadio Benito Mussolini, Turin",1934
30,Italy,Spain,1–0,1-06-1934,16:30,"Stadio Giovanni Berta, Florence",1934
31,Italy,Austria,1–0,3-06-1934,16:30,"Stadio San Siro, Milan",1934
32,Czechoslovakia,Germany,3–1,3-06-1934,16:30,"Stadio Nazionale PNF, Rome",1934
33,Germany,Austria,3–2,7-06-1934,18:00,"Stadio Giorgio Ascarelli, Naples",1934
34,Italy,Czechoslovakia,2–1 P,10-06-1934,15:30,"Stadio Nazionale PNF, Rome",1934
35,Switzerland,Germany,1–1 P,4-06-1938,17:00,"Parc des Princes, Paris",1938
36,Hungary,Dutch East Indies,6–0,5-06-1938,17:00,"Vélodrome Municipal, Reims",1938
37,Sweden,Austria,1-0,5-06-1938,,"Stade Gerland, Lyon",1938
38,Cuba,Romania,3–3 P,5-06-1938,17:00,"Stade du T.O.E.C., Toulouse",1938
39,France,Belgium,3–1,5-06-1938,17:00,"Stade Olympique de Colombes, Colombes",1938
40,Italy,Norway,2–1 P,5-06-1938,17:00,"Stade Vélodrome, Marseille",1938
41,Brazil,Poland,6–5 P,5-06-1938,17:30,"Stade de la Meinau, Strasbourg",1938
42,Czechoslovakia,Netherlands,3–0 P,5-06-1938,18:30,"Stade municipal, Le Havre",1938
43,Switzerland,Germany,4–2,9-06-1938,18:00,"Parc des Princes, Paris",1938
44,Cuba,Romania,2–1,9-06-1938,18:00,"Stade du T.O.E.C., Toulouse",1938
45,Hungary,Switzerland,2–0,12-06-1938,17:00,"Stade Victor Boucquey, Lille",1938
46,Sweden,Cuba,8–0,12-06-1938,17:00,"Stade du Fort Carré, Antibes",1938
47,Italy,France,3–1,12-06-1938,17:00,"Stade Olympique de Colombes, Colombes",1938
48,Brazil,Czechoslovakia,1–1 P,12-06-1938,17:00,"Parc Lescure, Bordeaux",1938
49,Brazil,Czechoslovakia,2–1,14-06-1938,18:00,"Parc Lescure, Bordeaux",1938
50,Hungary,Sweden,5–1,16-06-1938,18:00,"Parc des Princes, Paris",1938
51,Italy,Brazil,2–1,16-06-1938,18:00,"Stade Vélodrome, Marseille",1938
52,Brazil,Sweden,4–2,19-06-1938,17:00,"Parc Lescure, Bordeaux",1938
53,Italy,Hungary,4–2,19-06-1938,15:00,"Stade Olympique de Colombes, Paris",1938
54,Brazil,Mexico,4–0,24-06-1950,15:00,"Estádio do Maracanã, Rio de Janeiro",1950
55,Yugoslavia,Switzerland,3–0,25-06-1950,15:00,"Estádio Independência, Belo Horizonte",1950
56,Brazil,Switzerland,2–2,28-06-1950,15:00,"Estádio do Pacaembu, São Paulo",1950
57,Yugoslavia,Mexico,4–1,28-06-1950,15:00,"Estádio dos Eucaliptos, Porto Alegre",1950
58,Brazil,Yugoslavia,2–0,1-07-1950,15:00,"Estádio do Maracanã, Rio de Janeiro",1950
59,Switzerland,Mexico,2–1,2-07-1950,15:40,"Estádio dos Eucaliptos, Porto Alegre",1950
60,England,Chile,2–0,25-06-1950,15:00,"Estádio do Maracanã, Rio de Janeiro",1950
61,Spain,United States,3–1,25-06-1950,15:00,"Estádio Durival de Britto, Curitiba",1950
62,Spain,Chile,2–0,29-06-1950,15:00,"Estádio do Maracanã, Rio de Janeiro",1950
63,United States,England,1–0,29-06-1950,15:00,"Estádio Independência, Belo Horizonte",1950
64,Spain,England,1–0,2-07-1950,15:00,"Estádio do Maracanã, Rio de Janeiro",1950
65,Chile,United States,5–2,2-07-1950,15:00,"Estádio Ilha do Retiro, Recife",1950
66,Sweden,Italy,3–2,25-06-1950,15:00,"Estádio do Pacaembu, São Paulo",1950
67,Sweden,Paraguay,2–2,29-06-1950,15:30,"Estádio Durival Britto, Curitiba",1950
68,Italy,Paraguay,2–0,2-07-1950,15:00,"Estádio do Pacaembu, São Paulo",1950
69,Uruguay,Bolivia,8–0,2-07-1950,15:00,"Estádio Independência, Belo Horizonte",1950
70,Uruguay,Spain,2–2,9-07-1950,15:00,"Estádio do Pacaembu, São Paulo",1950
71,Brazil,Sweden,7–1,9-07-1950,15:00,"Estádio do Maracanã, Rio de Janeiro",1950
72,Brazil,Spain,6–1,13-07-1950,15:00,"Estádio do Maracanã, Rio de Janeiro",1950
73,Uruguay,Sweden,3–2,13-07-1950,15:00,"Estádio do Pacaembu, São Paulo",1950
74,Sweden,Spain,3–1,16-07-1950,15:00,"Estádio do Pacaembu, São Paulo",1950
75,Uruguay,Brazil,2–1,16-07-1950,15:00,"Estádio do Maracanã, Rio de Janeiro",1950
76,Brazil,Mexico,5–0,16-06-1954,18:00,"Charmilles Stadium, Geneva",1954
77,Yugoslavia,France,1–0,16-06-1954,18:00,"Stade Olympique de la Pontaise, Lausanne",1954
78,Brazil,Yugoslavia,1–1 P,19-06-1954,17:00,"Stade Olympique de la Pontaise, Lausanne",1954
79,France,Mexico,3–2,19-06-1954,17:10,"Charmilles Stadium, Geneva",1954
80,West Germany,Turkey,4–1,17-06-1954,18:00,"Wankdorf Stadium, Bern",1954
81,Hungary,South Korea,9–0,17-06-1954,18:00,"Hardturm Stadium, Zürich",1954
82,Hungary,West Germany,8–3,20-06-1954,16:50,"St. Jakob Stadium, Basel",1954
83,Turkey,South Korea,7–0,20-06-1954,17:00,"Charmilles Stadium, Geneva",1954
84,West Germany,Turkey,7–2,23-06-1954,18:00,"Hardturm Stadium, Zürich",1954
85,Uruguay,Czechoslovakia,2–0,16-06-1954,18:00,"Wankdorf Stadium, Bern",1954
86,Austria,Scotland,1–0,16-06-1954,18:00,"Hardturm Stadium, Zürich",1954
87,Uruguay,Scotland,7–0,19-06-1954,16:50,"St. Jakob Stadium, Basel",1954
88,Austria,Czechoslovakia,5–0,19-06-1954,17:00,"Hardturm Stadium, Zürich",1954
89,Switzerland,Italy,2–1,17-06-1954,17:50,"Stade Olympique de la Pontaise, Lausanne",1954
90,England,Belgium,4–4 P,17-06-1954,18:10,"St. Jakob Stadium, Basel",1954
91,Italy,Belgium,4–1,20-06-1954,17:00,"Cornaredo Stadium, Lugano",1954
92,England,Switzerland,2–0,20-06-1954,17:10,"Wankdorf Stadium, Bern",1954
93,Switzerland,Italy,4–1,23-06-1954,18:00,"St. Jakob Stadium, Basel",1954
94,Austria,Switzerland,7–5,26-06-1954,17:00,"Stade Olympique de la Pontaise, Lausanne",1954
95,Uruguay,England,4–2,26-06-1954,17:00,"St. Jakob Stadium, Basel",1954
96,West Germany,Yugoslavia,2–0,27-06-1954,17:00,"Charmilles Stadium, Geneva",1954
97,Hungary,Brazil,4–2,27-06-1954,17:00,"Wankdorf Stadium, Bern",1954
98,West Germany,Austria,6–1,30-06-1954,18:00,"St. Jakob Stadium, Basel",1954
99,Hungary,Uruguay,4–2 P,30-06-1954,18:00,"Stade Olympique de la Pontaise, Lausanne",1954
100,Austria,Uruguay,3–1,3-07-1954,17:00,"Hardturm Stadium, Zürich",1954
101,West Germany,Hungary,3–2,4-07-1954,17:00,"Wankdorf Stadium, Bern",1954
102,Argentina,West Germany,1–3,8-06-1958,19:00,"Malmö Stadion, Malmö",1958
103,Northern Ireland,Czechoslovakia,1–0,8-06-1958,19:00,"Örjans Vall, Halmstad",1958
104,West Germany,Czechoslovakia,2–2,11-06-1958,19:00,"Olympiastadion, Helsingborg",1958
105,Argentina,Northern Ireland,3–1,11-06-1958,19:00,"Örjans Vall, Halmstad",1958
106,West Germany,Northern Ireland,2–2,15-06-1958,19:00,"Malmö Stadion, Malmö",1958
107,Czechoslovakia,Argentina,6–1,15-06-1958,19:00,"Olympiastadion, Helsingborg",1958
108,Northern Ireland,Czechoslovakia,2–1 P,17-06-1958,19:00,"Malmö Stadion, Malmö",1958
109,France,Paraguay,7–3,8-06-1958,19:00,"Idrottsparken, Norrköping",1958
110,Yugoslavia,Scotland,1–1,8-06-1958,19:00,"Arosvallen, Västerås",1958
111,Yugoslavia,France,3–2,11-06-1958,19:00,"Arosvallen, Västerås",1958
112,Paraguay,Scotland,3–2,11-06-1958,19:00,"Idrottsparken, Norrköping",1958
113,France,Scotland,2–1,15-06-1958,19:00,"Eyravallen, Örebro",1958
114,Paraguay,Yugoslavia,3–3,15-06-1958,19:00,"Tunavallen, Eskilstuna",1958
115,Sweden,Mexico,3–0,8-06-1958,14:00,"Råsunda Stadium, Solna",1958
116,Hungary,Wales,1–1,8-06-1958,19:00,"Jernvallen, Sandviken",1958
117,Mexico,Wales,1–1,11-06-1958,19:00,"Råsunda Stadium, Solna",1958
118,Sweden,Hungary,2–1,12-06-1958,19:00,"Råsunda Stadium, Solna",1958
119,Sweden,Wales,0–0,15-06-1958,14:00,"Råsunda Stadium, Solna",1958
120,Hungary,Mexico,4–0,15-06-1958,19:00,"Jernvallen, Sandviken",1958
121,Wales,Hungary,2–1,17-06-1958,19:00,"Råsunda Stadium, Solna",1958
122,Brazil,Austria,3–0,8-06-1958,19:00,"Rimnersvallen, Uddevalla",1958
123,Soviet Union,England,2–2,8-06-1958,19:00,"Ullevi, Gothenburg",1958
124,Brazil,England,0–0,11-06-1958,19:00,"Ullevi, Gothenburg",1958
125,Soviet Union,Austria,2–0,11-06-1958,19:00,"Ryavallen, Borås",1958
126,England,Austria,2–2,15-06-1958,19:00,"Ryavallen, Borås",1958
127,Brazil,Soviet Union,2–0,15-06-1958,19:00,"Ullevi, Gothenburg",1958
128,Soviet Union,England,1–0,17-06-1958,19:00,"Ullevi, Gothenburg",1958
129,Brazil,Wales,1–0,19-06-1958,19:00,"Ullevi, Gothenburg",1958
130,France,Northern Ireland,4–0,19-06-1958,19:00,"Idrottsparken, Norrköping",1958
131,Sweden,Soviet Union,2–0,19-06-1958,19:00,"Råsunda Stadium, Solna",1958
132,West Germany,Yugoslavia,1–0,19-06-1958,19:00,"Malmö Stadion, Malmö",1958
133,Brazil,France,5–2,24-06-1958,19:00,"Råsunda Stadium, Solna",1958
134,Sweden,West Germany,3–1,24-06-1958,19:00,"Ullevi, Gothenburg",1958
135,France,West Germany,6–3,28-06-1958,17:00,"Ullevi, Gothenburg",1958
136,Brazil,Sweden,5–2,29-06-1958,15:00,"Råsunda Stadium, Solna",1958
137,Uruguay,Colombia,2–1,30-05-1962,15:00,"Estadio Carlos Dittborn, Arica",1962
138,Soviet Union,Yugoslavia,2–0,31-05-1962,15:00,"Estadio Carlos Dittborn, Arica",1962
139,Yugoslavia,Uruguay,3–1,2-06-1962,15:00,"Estadio Carlos Dittborn, Arica",1962
140,Soviet Union,Colombia,4–4,3-06-1962,15:00,"Estadio Carlos Dittborn, Arica",1962
141,Soviet Union,Uruguay,2–1,6-06-1962,15:00,"Estadio Carlos Dittborn, Arica",1962
142,Yugoslavia,Colombia,5–0,7-06-1962,15:00,"Estadio Carlos Dittborn, Arica",1962
143,Chile,Switzerland,3–1,30-05-1962,15:00,"Estadio Nacional, Santiago",1962
144,West Germany,Italy,0–0,31-05-1962,15:00,"Estadio Nacional, Santiago",1962
145,Chile,Italy,2–0,2-06-1962,15:00,"Estadio Nacional, Santiago",1962
146,West Germany,Switzerland,2–1,3-06-1962,15:00,"Estadio Nacional, Santiago",1962
147,West Germany,Chile,2–0,6-06-1962,15:00,"Estadio Nacional, Santiago",1962
148,Italy,Switzerland,3–0,7-06-1962,15:00,"Estadio Nacional, Santiago",1962
149,Brazil,Mexico,2–0,30-05-1962,15:00,"Estadio Sausalito, Viña del Mar",1962
150,Czechoslovakia,Spain,1–0,31-05-1962,15:00,"Estadio Sausalito, Viña del Mar",1962
151,Brazil,Czechoslovakia,0–0,2-06-1962,15:00,"Estadio Sausalito, Viña del Mar",1962
152,Spain,Mexico,1–0,3-06-1962,15:00,"Estadio Sausalito, Viña del Mar",1962
153,Brazil,Spain,2–1,6-06-1962,15:00,"Estadio Sausalito, Viña del Mar",1962
154,Mexico,Czechoslovakia,3–1,7-06-1962,15:00,"Estadio Sausalito, Viña del Mar",1962
155,Argentina,Bulgaria,1–0,30-05-1962,15:00,"Estadio El Teniente, Rancagua",1962
156,Hungary,England,2–1,31-05-1962,15:00,"Estadio El Teniente, Rancagua",1962
157,England,Argentina,3–1,2-06-1962,15:00,"Estadio El Teniente, Rancagua",1962
158,Hungary,Bulgaria,6–1,3-06-1962,15:00,"Estadio El Teniente, Rancagua",1962
159,Hungary,Argentina,0–0,6-06-1962,15:00,"Estadio El Teniente, Rancagua",1962
160,England,Bulgaria,0–0,7-06-1962,15:00,"Estadio El Teniente, Rancagua",1962
161,Chile,Soviet Union,2–1,10-06-1962,14:30,"Estadio Carlos Dittborn, Arica",1962
162,Czechoslovakia,Hungary,1–0,10-06-1962,14:30,"Estadio El Teniente, Rancagua",1962
163,Brazil,England,3–1,10-06-1962,14:30,"Estadio Sausalito, Viña del Mar",1962
164,Yugoslavia,West Germany,1–0,10-06-1962,14:30,"Estadio Nacional, Santiago",1962
165,Czechoslovakia,Yugoslavia,3–1,13-06-1962,14:30,"Estadio Sausalito, Viña del Mar",1962
166,Brazil,Chile,4–2,13-06-1962,14:30,"Estadio Nacional, Santiago",1962
167,Chile,Yugoslavia,1–0,16-06-1962,14:30,"Estadio Nacional, Santiago",1962
168,Brazil,Czechoslovakia,3–1,17-06-1962,14:30,"Estadio Nacional, Santiago",1962
169,England,Uruguay,0–0,11-07-1966,19:30,"Wembley Stadium, London",1966
170,France,Mexico,1–1,13-07-1966,19:30,"Wembley Stadium, London",1966
171,Uruguay,France,2–1,15-07-1966,19:30,"White City Stadium, London",1966
172,England,Mexico,2–0,16-07-1966,19:30,"Wembley Stadium, London",1966
173,Mexico,Uruguay,0–0,19-07-1966,16:30,"Wembley Stadium, London",1966
174,England,France,2–0,20-07-1966,19:30,"Wembley Stadium, London",1966
175,West Germany,Switzerland,5–0,12-07-1966,19:30,"Hillsborough Stadium, Sheffield",1966
176,Argentina,Spain,2–1,13-07-1966,19:30,"Villa Park, Birmingham",1966
177,Spain,Switzerland,2–1,15-07-1966,19:30,"Hillsborough Stadium, Sheffield",1966
178,Argentina,West Germany,0–0,16-07-1966,15:00,"Villa Park, Birmingham",1966
179,Argentina,Switzerland,2–0,19-07-1966,19:30,"Hillsborough Stadium, Sheffield",1966
180,West Germany,Spain,2–1,20-07-1966,19:30,"Villa Park, Birmingham",1966
181,Brazil,Bulgaria,2–0,12-07-1966,19:30,"Goodison Park, Liverpool",1966
182,Portugal,Hungary,3–1,13-07-1966,19:30,"Old Trafford, Manchester",1966
183,Hungary,Brazil,3–1,15-07-1966,19:30,"Goodison Park, Liverpool",1966
184,Portugal,Bulgaria,3–0,16-07-1966,15:00,"Old Trafford, Manchester",1966
185,Portugal,Brazil,3–1,19-07-1966,19:30,"Goodison Park, Liverpool",1966
186,Hungary,Bulgaria,3–1,20-07-1966,19:30,"Old Trafford, Manchester",1966
187,Soviet Union,North Korea,3–0,12-07-1966,19:30,"Ayresome Park, Middlesbrough",1966
188,Italy,Chile,2–0,13-07-1966,19:30,"Roker Park, Sunderland",1966
189,Chile,North Korea,1–1,15-07-1966,19:30,"Ayresome Park, Middlesbrough",1966
190,Soviet Union,Italy,1–0,16-07-1966,15:00,"Roker Park, Sunderland",1966
191,North Korea,Italy,1–0,19-07-1966,19:30,"Ayresome Park, Middlesbrough",1966
192,Soviet Union,Chile,2–1,20-07-1966,19:30,"Roker Park, Sunderland",1966
193,England,Argentina,1–0,23-07-1966,15:00,"Wembley Stadium, London",1966
194,West Germany,Uruguay,4–0,23-07-1966,15:00,"Hillsborough Stadium, Sheffield",1966
195,Soviet Union,Hungary,2–1,23-07-1966,15:00,"Roker Park, Sunderland",1966
196,Portugal,North Korea,5–3,23-07-1966,15:00,"Goodison Park, Liverpool",1966
197,West Germany,Soviet Union,2–1,25-07-1966,19:30,"Goodison Park, Liverpool",1966
198,England,Portugal,2–1,26-07-1966,19:30,"Wembley Stadium, London",1966
199,Portugal,Soviet Union,2–1,28-07-1966,19:30,"Wembley Stadium, London",1966
200,England,West Germany,4–2 P,30-07-1966,15:00,"Wembley Stadium, London",1966
201,Mexico,Soviet Union,0–0,31-05-1970,12:00,"Estadio Azteca, Mexico City",1970
202,Belgium,El Salvador,3–0,3-06-1970,16:00,"Estadio Azteca, Mexico City",1970
203,Soviet Union,Belgium,4–1,6-06-1970,16:00,"Estadio Azteca, Mexico City",1970
204,Mexico,El Salvador,4–0,7-06-1970,12:00,"Estadio Azteca, Mexico City",1970
205,Soviet Union,El Salvador,2–0,10-06-1970,16:00,"Estadio Azteca, Mexico City",1970
206,Mexico,Belgium,1–0,11-06-1970,16:00,"Estadio Azteca, Mexico City",1970
207,Uruguay,Israel,2–0,2-06-1970,16:00,"Estadio Cuauhtémoc, Puebla",1970
208,Italy,Sweden,1–0,3-06-1970,16:00,"Estadio Luis Dosal, Toluca",1970
209,Uruguay,Italy,0–0,6-06-1970,16:00,"Estadio Cuauhtémoc, Puebla",1970
210,Sweden,Israel,1–1,7-06-1970,12:00,"Estadio Luis Dosal, Toluca",1970
211,Sweden,Uruguay,1–0,10-06-1970,16:00,"Estadio Cuauhtémoc, Puebla",1970
212,Italy,Israel,0–0,11-06-1970,16:00,"Estadio Luis Dosal, Toluca",1970
213,England,Romania,1–0,2-06-1970,16:00,"Estadio Jalisco, Guadalajara",1970
214,Brazil,Czechoslovakia,4–1,3-06-1970,16:00,"Estadio Jalisco, Guadalajara",1970
215,Romania,Czechoslovakia,2–1,6-06-1970,16:00,"Estadio Jalisco, Guadalajara",1970
216,Brazil,England,1–0,7-06-1970,12:00,"Estadio Jalisco, Guadalajara",1970
217,Brazil,Romania,3–2,10-06-1970,16:00,"Estadio Jalisco, Guadalajara",1970
218,England,Czechoslovakia,1–0,11-06-1970,16:00,"Estadio Jalisco, Guadalajara",1970
219,Peru,Bulgaria,3–2,2-06-1970,16:00,"Estadio Nou Camp, León",1970
220,West Germany,Morocco,2–1,3-06-1970,16:00,"Estadio Nou Camp, León",1970
221,Peru,Morocco,3–0,6-06-1970,16:00,"Estadio Nou Camp, León",1970
222,West Germany,Bulgaria,5–2,7-06-1970,12:00,"Estadio Nou Camp, León",1970
223,West Germany,Peru,3–1,10-06-1970,16:00,"Estadio Nou Camp, León",1970
224,Bulgaria,Morocco,1–1,11-06-1970,16:00,"Estadio Nou Camp, León",1970
225,Soviet Union,Uruguay,0–1 P,14-06-1970,12:00,"Estadio Azteca, Mexico City",1970
226,Italy,Mexico,4–1,14-06-1970,12:00,"Estadio Luis Dosal, Toluca",1970
227,Brazil,Peru,4–2,14-06-1970,12:00,"Estadio Jalisco, Guadalajara",1970
228,West Germany,England,3–2 P,14-06-1970,12:00,"Estadio Nou Camp, León",1970
229,Uruguay,Brazil,1–3,17-06-1970,16:00,"Estadio Jalisco, Guadalajara",1970
230,Italy,West Germany,4–3 P,17-06-1970,16:00,"Estadio Azteca, Mexico City",1970
231,Uruguay,West Germany,0–1,20-06-1970,16:00,"Estadio Azteca, Mexico City",1970
232,Brazil,Italy,4–1,21-06-1970,12:00,"Estadio Azteca, Mexico City",1970
233,West Germany,Chile,1–0,14-06-1974,16:00,"Olympiastadion, West Berlin",1974
