,team_1,team_2,score,date,time,staduim,Year
698,Japan,Cameroon,1–0,14-06-2010,16:00,"Free State Stadium, Bloemfontein",2010
699,Netherlands,Japan,1–0,19-06-2010,13:30,"Moses Mabhida Stadium, Durban",2010
700,Cameroon,Denmark,1–2,19-06-2010,20:30,"Loftus Versfeld Stadium, Pretoria",2010
701,Denmark,Japan,1–3,24-06-2010,20:30,"Royal Bafokeng Stadium, Rustenburg",2010
702,Cameroon,Netherlands,1–2,24-06-2010,20:30,"Cape Town Stadium, Cape Town",2010
703,Italy,Paraguay,1–1,14-06-2010,20:30,"Cape Town Stadium, Cape Town",2010
704,New Zealand,Slovakia,1–1,15-06-2010,13:30,"Royal Bafokeng Stadium, Rustenburg",2010
705,Slovakia,Paraguay,0–2,20-06-2010,13:30,"Free State Stadium, Bloemfontein",2010
706,Italy,New Zealand,1–1,20-06-2010,16:00,"Mbombela Stadium, Nelspruit",2010
707,Slovakia,Italy,3–2,24-06-2010,16:00,"Ellis Park Stadium, Johannesburg",2010
708,Paraguay,New Zealand,0–0,24-06-2010,16:00,"Peter Mokaba Stadium, Polokwane",2010
709,Ivory Coast,Portugal,0–0,15-06-2010,16:00,"Nelson Mandela Bay Stadium, Port Elizabeth",2010
710,Brazil,North Korea,2–1,15-06-2010,20:30,"Ellis Park Stadium, Johannesburg",2010
711,Brazil,Ivory Coast,3–1,20-06-2010,20:30,"Soccer City, Johannesburg",2010
712,Portugal,North Korea,7–0,21-06-2010,13:30,"Cape Town Stadium, Cape Town",2010
713,Portugal,Brazil,0–0,25-06-2010,16:00,"Moses Mabhida Stadium, Durban",2010
714,North Korea,Ivory Coast,0–3,25-06-2010,16:00,"Mbombela Stadium, Nelspruit",2010
715,Honduras,Chile,0–1,16-06-2010,13:30,"Mbombela Stadium, Nelspruit",2010
716,Spain,Switzerland,0–1,16-06-2010,16:00,"Moses Mabhida Stadium, Durban",2010
717,Chile,Switzerland,1–0,21-06-2010,16:00,"Nelson Mandela Bay Stadium, Port Elizabeth",2010
718,Spain,Honduras,2–0,21-06-2010,20:30,"Ellis Park Stadium, Johannesburg",2010
719,Chile,Spain,1–2,25-06-2010,20:30,"Loftus Versfeld Stadium, Pretoria",2010
720,Switzerland,Honduras,0–0,25-06-2010,20:30,"Free State Stadium, Bloemfontein",2010
721,Uruguay,South Korea,2–1,26-06-2010,16:00,"Nelson Mandela Bay Stadium, Port Elizabeth",2010
722,United States,Ghana,1–2 P,26-06-2010,20:30,"Royal Bafokeng Stadium, Rustenburg",2010
723,Germany,England,4–1,27-06-2010,16:00,"Free State Stadium, Bloemfontein",2010
724,Argentina,Mexico,3–1,27-06-2010,20:30,"Soccer City, Johannesburg",2010
725,Netherlands,Slovakia,2–1,28-06-2010,16:00,"Moses Mabhida Stadium, Durban",2010
726,Brazil,Chile,3–0,28-06-2010,20:30,"Ellis Park Stadium, Johannesburg",2010
727,Paraguay,Japan,0–0 P,29-06-2010,16:00,"Loftus Versfeld Stadium, Pretoria",2010
728,Spain,Portugal,1–0,29-06-2010,20:30,"Cape Town Stadium, Cape Town",2010
729,Netherlands,Brazil,2–1,2-07-2010,16:00,"Nelson Mandela Bay Stadium, Port Elizabeth",2010
730,Uruguay,Ghana,1–1 P,2-07-2010,20:30,"Soccer City, Johannesburg",2010
731,Argentina,Germany,0–4,3-07-2010,16:00,"Cape Town Stadium, Cape Town",2010
732,Paraguay,Spain,0–1,3-07-2010,20:30,"Ellis Park Stadium, Johannesburg",2010
733,Uruguay,Netherlands,2–3,6-07-2010,20:30,"Cape Town Stadium, Cape Town",2010
734,Germany,Spain,0–1,7-07-2010,20:30,"Moses Mabhida Stadium, Durban",2010
735,Uruguay,Germany,2–3,10-07-2010,20:30,"Nelson Mandela Bay Stadium, Port Elizabeth",2010
736,Netherlands,Spain,0–1 P,11-07-2010,20:30,"Soccer City, Johannesburg",2010
737,Brazil,Croatia,3–1,12-06-2014,17:00,"Arena de São Paulo, São Paulo",2014
738,Mexico,Cameroon,1–0,13-06-2014,13:00,"Arena das Dunas, Natal",2014
739,Brazil,Mexico,0–0,17-06-2014,16:00,"Estádio Castelão, Fortaleza",2014
740,Cameroon,Croatia,0–4,18-06-2014,18:00,"Arena da Amazônia, Manaus",2014
741,Cameroon,Brazil,1–4,23-06-2014,17:00,"Estádio Nacional Mané Garrincha, Brasília",2014
742,Croatia,Mexico,1–3,23-06-2014,17:00,"Itaipava Arena Pernambuco, Recife",2014
743,Spain,Netherlands,1–5,13-06-2014,16:00,"Itaipava Arena Fonte Nova, Salvador",2014
744,Chile,Australia,3–1,13-06-2014,18:00,"Arena Pantanal, Cuiabá",2014
745,Australia,Netherlands,2–3,18-06-2014,13:00,"Estádio Beira-Rio, Porto Alegre",2014
746,Spain,Chile,0–2,18-06-2014,16:00,"Estádio do Maracanã, Rio de Janeiro",2014
747,Australia,Spain,0–3,23-06-2014,13:00,"Arena da Baixada, Curitiba",2014
748,Netherlands,Chile,2–0,23-06-2014,13:00,"Arena de São Paulo, São Paulo",2014
749,Colombia,Greece,3–0,14-06-2014,13:00,"Estádio Mineirão, Belo Horizonte",2014
750,Ivory Coast,Japan,2–1,14-06-2014,22:00,"Itaipava Arena Pernambuco, Recife",2014
751,Colombia,Ivory Coast,2–1,19-06-2014,13:00,"Estádio Nacional Mané Garrincha, Brasília",2014
752,Japan,Greece,0–0,19-06-2014,19:00,"Arena das Dunas, Natal",2014
753,Japan,Colombia,1–4,24-06-2014,16:00,"Arena Pantanal, Cuiabá",2014
754,Greece,Ivory Coast,2–1,24-06-2014,17:00,"Estádio Castelão, Fortaleza",2014
755,Uruguay,Costa Rica,1–3,14-06-2014,16:00,"Estádio Castelão, Fortaleza",2014
756,England,Italy,1–2,14-06-2014,18:00,"Arena da Amazônia, Manaus",2014
757,Uruguay,England,2–1,19-06-2014,16:00,"Arena de São Paulo, São Paulo",2014
758,Italy,Costa Rica,0–1,20-06-2014,13:00,"Itaipava Arena Pernambuco, Recife",2014
759,Italy,Uruguay,0–1,24-06-2014,13:00,"Arena das Dunas, Natal",2014
760,Costa Rica,England,0–0,24-06-2014,13:00,"Estádio Mineirão, Belo Horizonte",2014
761,Switzerland,Ecuador,2–1,15-06-2014,13:00,"Estádio Nacional Mané Garrincha, Brasília",2014
762,France,Honduras,3–0,15-06-2014,16:00,"Estádio Beira-Rio, Porto Alegre",2014
763,Switzerland,France,2–5,20-06-2014,16:00,"Itaipava Arena Fonte Nova, Salvador",2014
764,Honduras,Ecuador,1–2,20-06-2014,19:00,"Arena da Baixada, Curitiba",2014
765,Honduras,Switzerland,0–3,25-06-2014,16:00,"Arena da Amazônia, Manaus",2014
766,Ecuador,France,0–0,25-06-2014,17:00,"Estádio do Maracanã, Rio de Janeiro",2014
767,Argentina,Bosnia and Herzegovina,2–1,15-06-2014,19:00,"Estádio do Maracanã, Rio de Janeiro",2014
768,Iran,Nigeria,0–0,16-06-2014,16:00,"Arena da Baixada, Curitiba",2014
769,Argentina,Iran,1–0,21-06-2014,13:00,"Estádio Mineirão, Belo Horizonte",2014
770,Nigeria,Bosnia and Herzegovina,1–0,21-06-2014,18:00,"Arena Pantanal, Cuiabá",2014
771,Nigeria,Argentina,2–3,25-06-2014,13:00,"Estádio Beira-Rio, Porto Alegre",2014
772,Bosnia and Herzegovina,Iran,3–1,25-06-2014,13:00,"Itaipava Arena Fonte Nova, Salvador",2014
773,Germany,Portugal,4–0,16-06-2014,13:00,"Itaipava Arena Fonte Nova, Salvador",2014
774,Ghana,United States,1–2,16-06-2014,19:00,"Arena das Dunas, Natal",2014
775,Germany,Ghana,2–2,21-06-2014,16:00,"Estádio Castelão, Fortaleza",2014
776,United States,Portugal,2–2,22-06-2014,18:00,"Arena da Amazônia, Manaus",2014
777,United States,Germany,0–1,26-06-2014,13:00,"Itaipava Arena Pernambuco, Recife",2014
778,Portugal,Ghana,2–1,26-06-2014,13:00,"Estádio Nacional Mané Garrincha, Brasília",2014
779,Belgium,Algeria,2–1,17-06-2014,13:00,"Estádio Mineirão, Belo Horizonte",2014
780,Russia,South Korea,1–1,17-06-2014,18:00,"Arena Pantanal, Cuiabá",2014
781,Belgium,Russia,1–0,22-06-2014,13:00,"Estádio do Maracanã, Rio de Janeiro",2014
782,South Korea,Algeria,2–4,22-06-2014,16:00,"Estádio Beira-Rio, Porto Alegre",2014
783,South Korea,Belgium,0–1,26-06-2014,17:00,"Arena de São Paulo, São Paulo",2014
784,Algeria,Russia,1–1,26-06-2014,17:00,"Arena da Baixada, Curitiba",2014
785,Brazil,Chile,1–1 P,28-06-2014,13:00,"Estádio Mineirão, Belo Horizonte",2014
786,Colombia,Uruguay,2–0,28-06-2014,17:00,"Estádio do Maracanã, Rio de Janeiro",2014
787,Netherlands,Mexico,2–1,29-06-2014,13:00,"Estádio Castelão, Fortaleza",2014
788,Costa Rica,Greece,1–1 P,29-06-2014,17:00,"Itaipava Arena Pernambuco, Recife",2014
789,France,Nigeria,2–0,30-06-2014,13:00,"Estádio Nacional Mané Garrincha, Brasília",2014
790,Germany,Algeria,2–1 P,30-06-2014,17:00,"Estádio Beira-Rio, Porto Alegre",2014
791,Argentina,Switzerland,1–0 P,1-07-2014,13:00,"Arena Corinthians, São Paulo",2014
792,Belgium,United States,2–1 P,1-07-2014,17:00,"Itaipava Arena Fonte Nova, Salvador",2014
793,France,Germany,0–1,4-07-2014,13:00,"Estádio do Maracanã, Rio de Janeiro",2014
794,Brazil,Colombia,2–1,4-07-2014,17:00,"Estádio Castelão, Fortaleza",2014
795,Argentina,Belgium,1–0,5-07-2014,13:00,"Estádio Nacional Mané Garrincha, Brasília",2014
796,Netherlands,Costa Rica,0–0 P,5-07-2014,17:00,"Itaipava Arena Fonte Nova, Salvador",2014
797,Brazil,Germany,1–7,8-07-2014,17:00,"Estádio Mineirão, Belo Horizonte",2014
798,Netherlands,Argentina,0–0 P,9-07-2014,17:00,"Arena Corinthians, São Paulo",2014
799,Brazil,Netherlands,0–3,12-07-2014,17:00,"Estádio Nacional Mané Garrincha, Brasília",2014
800,Germany,Argentina,1–0 P,13-07-2014,16:00,"Maracanã Stadium, Rio de Janeiro",2014
801,Russia,Saudi Arabia,5–0,14-06-2018,18:00,"Luzhniki Stadium, Moscow",2018
802,Egypt,Uruguay,0–1,15-06-2018,17:00,"Central Stadium, Yekaterinburg",2018
803,Russia,Egypt,3–1,19-06-2018,21:00,"Krestovsky Stadium, Saint Petersburg",2018
804,Uruguay,Saudi Arabia,1–0,20-06-2018,18:00,"Rostov Arena, Rostov-on-Don",2018
805,Uruguay,Russia,3–0,25-06-2018,18:00,"Cosmos Arena, Samara",2018
806,Saudi Arabia,Egypt,2–1,25-06-2018,17:00,"Volgograd Arena, Volgograd",2018
807,Morocco,Iran,0–1,15-06-2018,18:00,"Krestovsky Stadium, Saint Petersburg",2018
808,Portugal,Spain,3–3,15-06-2018,21:00,"Fisht Olympic Stadium, Sochi",2018
809,Portugal,Morocco,1–0,20-06-2018,15:00,"Luzhniki Stadium, Moscow",2018
810,Iran,Spain,0–1,20-06-2018,21:00,"Kazan Arena, Kazan",2018
811,Iran,Portugal,1–1,25-06-2018,21:00,"Mordovia Arena, Saransk",2018
812,Spain,Morocco,2–2,25-06-2018,20:00,"Kaliningrad Stadium, Kaliningrad",2018
813,France,Australia,2–1,16-06-2018,13:00,"Kazan Arena, Kazan",2018
814,Peru,Denmark,0–1,16-06-2018,19:00,"Mordovia Arena, Saransk",2018
815,Denmark,Australia,1–1,21-06-2018,16:00,"Cosmos Arena, Samara",2018
816,France,Peru,1–0,21-06-2018,20:00,"Central Stadium, Yekaterinburg",2018
817,Denmark,France,0–0,26-06-2018,17:00,"Luzhniki Stadium, Moscow",2018
818,Australia,Peru,0–2,26-06-2018,17:00,"Fisht Olympic Stadium, Sochi",2018
819,Argentina,Iceland,1–1,16-06-2018,16:00,"Otkritie Arena, Moscow",2018
820,Croatia,Nigeria,2–0,16-06-2018,21:00,"Kaliningrad Stadium, Kaliningrad",2018
821,Argentina,Croatia,0–3,21-06-2018,21:00,"Nizhny Novgorod Stadium, Nizhny Novgorod",2018
822,Nigeria,Iceland,2–0,22-06-2018,18:00,"Volgograd Arena, Volgograd",2018
823,Nigeria,Argentina,1–2,26-06-2018,21:00,"Krestovsky Stadium, Saint Petersburg",2018
824,Iceland,Croatia,1–2,26-06-2018,21:00,"Rostov Arena, Rostov-on-Don",2018
825,Costa Rica,Serbia,0–1,17-06-2018,16:00,"Cosmos Arena, Samara",2018
826,Brazil,Switzerland,1–1,17-06-2018,21:00,"Rostov Arena, Rostov-on-Don",2018
827,Brazil,Costa Rica,2–0,22-06-2018,15:00,"Krestovsky Stadium, Saint Petersburg",2018
828,Serbia,Switzerland,1–2,22-06-2018,20:00,"Kaliningrad Stadium, Kaliningrad",2018
829,Serbia,Brazil,0–2,27-06-2018,21:00,"Otkritie Arena, Moscow",2018
830,Switzerland,Costa Rica,2–2,27-06-2018,21:00,"Nizhny Novgorod Stadium, Nizhny Novgorod",2018
831,Germany,Mexico,0–1,17-06-2018,18:00,"Luzhniki Stadium, Moscow",2018
832,Sweden,South Korea,1–0,18-06-2018,15:00,"Nizhny Novgorod Stadium, Nizhny Novgorod",2018
833,South Korea,Mexico,1–2,23-06-2018,18:00,"Rostov Arena, Rostov-on-Don",2018
834,Germany,Sweden,2–1,23-06-2018,21:00,"Fisht Olympic Stadium, Sochi",2018
835,South Korea,Germany,2–0,27-06-2018,17:00,"Kazan Arena, Kazan",2018
836,Mexico,Sweden,0–3,27-06-2018,19:00,"Central Stadium, Yekaterinburg",2018
837,Belgium,Panama,3–0,18-06-2018,18:00,"Fisht Olympic Stadium, Sochi",2018
838,Tunisia,England,1–2,18-06-2018,21:00,"Volgograd Arena, Volgograd",2018
839,Belgium,Tunisia,5–2,23-06-2018,15:00,"Otkritie Arena, Moscow",2018
840,England,Panama,6–1,24-06-2018,15:00,"Nizhny Novgorod Stadium, Nizhny Novgorod",2018
841,England,Belgium,0–1,28-06-2018,20:00,"Kaliningrad Stadium, Kaliningrad",2018
842,Panama,Tunisia,1–2,28-06-2018,21:00,"Mordovia Arena, Saransk",2018
843,Colombia,Japan,1–2,19-06-2018,15:00,"Mordovia Arena, Saransk",2018
844,Poland,Senegal,1–2,19-06-2018,18:00,"Otkritie Arena, Moscow",2018
845,Japan,Senegal,2–2,24-06-2018,20:00,"Central Stadium, Yekaterinburg",2018
846,Poland,Colombia,0–3,24-06-2018,21:00,"Kazan Arena, Kazan",2018
847,Japan,Poland,0–1,28-06-2018,17:00,"Volgograd Arena, Volgograd",2018
848,Senegal,Colombia,0–1,28-06-2018,18:00,"Cosmos Arena, Samara",2018
849,France,Argentina,4–3,30-06-2018,17:00,"Kazan Arena, Kazan",2018
850,Uruguay,Portugal,2–1,30-06-2018,21:00,"Fisht Olympic Stadium, Sochi",2018
851,Spain,Russia,1–1 P,1-07-2018,17:00,"Luzhniki Stadium, Moscow",2018
852,Croatia,Denmark,1–1 P,1-07-2018,21:00,"Nizhny Novgorod Stadium, Nizhny Novgorod",2018
853,Brazil,Mexico,2–0,2-07-2018,18:00,"Cosmos Arena, Samara",2018
854,Belgium,Japan,3–2,2-07-2018,21:00,"Rostov Arena, Rostov-on-Don",2018
855,Sweden,Switzerland,1–0,3-07-2018,17:00,"Krestovsky Stadium, Saint Petersburg",2018
856,Colombia,England,1–1 P,3-07-2018,21:00,"Otkritie Arena, Moscow",2018
857,Uruguay,France,0–2,6-07-2018,17:00,"Nizhny Novgorod Stadium, Nizhny Novgorod",2018
858,Brazil,Belgium,1–2,6-07-2018,21:00,"Kazan Arena, Kazan",2018
859,Sweden,England,0–2,7-07-2018,18:00,"Cosmos Arena, Samara",2018
860,Russia,Croatia,2–2 P,7-07-2018,21:00,"Fisht Olympic Stadium, Sochi",2018
861,France,Belgium,1–0,10-07-2018,21:00,"Krestovsky Stadium, Saint Petersburg",2018
862,Croatia,England,2–1 P,11-07-2018,21:00,"Luzhniki Stadium, Moscow",2018
863,Belgium,England,2–0,14-07-2018,17:00,"Krestovsky Stadium, Saint Petersburg",2018
864,France,Croatia,4–2,15-07-2018,18:00,"Luzhniki Stadium, Moscow",2018
865,Qatar,Ecuador,0–2,20-11-2022,19:00,"Al Bayt Stadium, Al Khor",2022
866,Senegal,Netherlands,0–2,21-11-2022,19:00,"Al Thumama Stadium, Doha",2022
867,Qatar,Senegal,1–3,25-11-2022,16:00,"Al Thumama Stadium, Doha",2022
868,Netherlands,Ecuador,1–1,25-11-2022,19:00,"Khalifa International Stadium, Al Rayyan",2022
869,Ecuador,Senegal,1–2,29-11-2022,18:00,"Khalifa International Stadium, Al Rayyan",2022
870,Netherlands,Qatar,2–0,29-11-2022,18:00,"Al Bayt Stadium, Al Khor",2022
871,England,Iran,6–2,21-11-2022,16:00,"Khalifa International Stadium, Al Rayyan",2022
872,United States,Wales,1–1,21-11-2022,22:00,"Ahmad bin Ali Stadium, Al Rayyan",2022
873,Wales,Iran,0–2,25-11-2022,13:00,"Ahmad bin Ali Stadium, Al Rayyan",2022
874,England,United States,0–0,25-11-2022,22:00,"Al Bayt Stadium, Al Khor",2022
875,Wales,England,0–3,29-11-2022,22:00,"Ahmad bin Ali Stadium, Al Rayyan",2022
876,Iran,United States,0–1,29-11-2022,22:00,"Al Thumama Stadium, Doha",2022
877,Argentina,Saudi Arabia,1–2,22-11-2022,13:00,"Lusail Stadium, Lusail",2022
878,Mexico,Poland,0–0,22-11-2022,19:00,"Stadium 974, Doha",2022
879,Poland,Saudi Arabia,2–0,26-11-2022,16:00,"Education City Stadium, Al Rayyan",2022
880,Argentina,Mexico,2–0,26-11-2022,22:00,"Lusail Stadium, Lusail",2022
881,Poland,Argentina,0–2,30-11-2022,22:00,"Stadium 974, Doha",2022
882,Saudi Arabia,Mexico,1–2,30-11-2022,22:00,"Lusail Stadium, Lusail",2022
883,Denmark,Tunisia,0–0,22-11-2022,16:00,"Education City Stadium, Al Rayyan",2022
884,France,Australia,4–1,22-11-2022,22:00,"Al Janoub Stadium, Al Wakrah",2022
885,Tunisia,Australia,0–1,26-11-2022,13:00,"Al Janoub Stadium, Al Wakrah",2022
886,France,Denmark,2–1,26-11-2022,19:00,"Stadium 974, Doha",2022
887,Australia,Denmark,1–0,30-11-2022,18:00,"Al Janoub Stadium, Al Wakrah",2022
888,Tunisia,France,1–0,30-11-2022,18:00,"Education City Stadium, Al Rayyan",2022
889,Germany,Japan,1–2,23-11-2022,16:00,"Khalifa International Stadium, Al Rayyan",2022
890,Spain,Costa Rica,7–0,23-11-2022,19:00,"Al Thumama Stadium, Doha",2022
891,Japan,Costa Rica,0–1,27-11-2022,13:00,"Ahmad bin Ali Stadium, Al Rayyan",2022
892,Spain,Germany,1–1,27-11-2022,22:00,"Al Bayt Stadium, Al Khor",2022
893,Japan,Spain,2–1,1-12-2022,22:00,"Khalifa International Stadium, Al Rayyan",2022
894,Costa Rica,Germany,2–4,1-12-2022,22:00,"Al Bayt Stadium, Al Khor",2022
895,Morocco,Croatia,0–0,23-11-2022,13:00,"Al Bayt Stadium, Al Khor",2022
896,Belgium,Canada,1–0,23-11-2022,22:00,"Ahmad bin Ali Stadium, Al Rayyan",2022
897,Belgium,Morocco,0–2,27-11-2022,16:00,"Al Thumama Stadium, Doha",2022
898,Croatia,Canada,4–1,27-11-2022,19:00,"Khalifa International Stadium, Al Rayyan",2022
899,Croatia,Belgium,0–0,1-12-2022,18:00,"Ahmad bin Ali Stadium, Al Rayyan",2022
900,Canada,Morocco,1–2,1-12-2022,18:00,"Al Thumama Stadium, Doha",2022
901,Switzerland,Cameroon,1–0,24-11-2022,13:00,"Al Janoub Stadium, Al Wakrah",2022
902,Brazil,Serbia,2–0,24-11-2022,22:00,"Lusail Stadium, Lusail",2022
903,Cameroon,Serbia,3–3,28-11-2022,13:00,"Al Janoub Stadium, Al Wakrah",2022
904,Brazil,Switzerland,1–0,28-11-2022,19:00,"Stadium 974, Doha",2022
905,Serbia,Switzerland,2–3,2-12-2022,22:00,"Stadium 974, Doha",2022
906,Cameroon,Brazil,1–0,2-12-2022,22:00,"Lusail Stadium, Lusail",2022
907,Uruguay,South Korea,0–0,24-11-2022,16:00,"Education City Stadium, Al Rayyan",2022
908,Portugal,Ghana,3–2,24-11-2022,19:00,"Stadium 974, Doha",2022
909,South Korea,Ghana,2–3,28-11-2022,16:00,"Education City Stadium, Al Rayyan",2022
910,Portugal,Uruguay,2–0,28-11-2022,22:00,"Lusail Stadium, Lusail",2022
911,Ghana,Uruguay,0–2,2-12-2022,18:00,"Al Janoub Stadium, Al Wakrah",2022
912,South Korea,Portugal,2–1,2-12-2022,18:00,"Education City Stadium, Al Rayyan",2022
913,Netherlands,United States,3–1,3-12-2022,18:00,"Khalifa International Stadium, Al Rayyan",2022
914,Argentina,Australia,2–1,3-12-2022,22:00,"Ahmad bin Ali Stadium, Al Rayyan",2022
915,France,Poland,3–1,4-12-2022,18:00,"Al Thumama Stadium, Doha",2022
916,England,Senegal,3–0,4-12-2022,22:00,"Al Bayt Stadium, Al Khor",2022
917,Japan,Croatia,1–1 P,5-12-2022,18:00,"Al Janoub Stadium, Al Wakrah",2022
918,Brazil,South Korea,4–1,5-12-2022,22:00,"Stadium 974, Doha",2022
919,Morocco,Spain,0–0 P,6-12-2022,18:00,"Education City Stadium, Al Rayyan",2022
920,Portugal,Switzerland,6–1,6-12-2022,22:00,"Lusail Stadium, Lusail",2022
921,Croatia,Brazil,1–1 P,9-12-2022,18:00,"Education City Stadium, Al Rayyan",2022
922,Netherlands,Argentina,2–2 P,9-12-2022,22:00,"Lusail Stadium, Lusail",2022
923,Morocco,Portugal,1–0,10-12-2022,18:00,"Al Thumama Stadium, Doha",2022
924,England,France,1–2,10-12-2022,22:00,"Al Bayt Stadium, Al Khor",2022
925,Argentina,Croatia,3–0,13-12-2022,22:00,"Lusail Stadium, Lusail",2022
926,France,Morocco,2–0,14-12-2022,22:00,"Al Bayt Stadium, Al Khor",2022
927,Croatia,Morocco,2–1,17-12-2022,18:00,"Khalifa International Stadium, Al Rayyan",2022
928,Argentina,France,3–3 P,18-12-2022,18:00,"Lusail Stadium, Lusail",2022
